"word","count"
"foods",380
"gud",377
"meet",377
"rustic",377
"talking",377
"malai",376
"crazy",375
"roasted",375
"vietnamese",374
"issue",372
"queue",372
"properly",372
"hazelnut",371
"opted",370
"words",370
"ginger",370
"share",369
"olive",368
"soothing",368
"preparation",368
"fenny's",367
"cheers",366
"middle",366
"creams",365
"ppl",364
"expecting",364
":(",363
"clear",363
"(which",363
"fare",362
"blend",362
"dhaba",362
"sugar",362
"sauces",362
"branch",361
"gonna",360
"needed",360
"wrapped",360
"business",360
"spaghetti",359
"succulent",359
"calm",358
"glad",358
"benne",358
"rated",358
"candle",358
"running",358
"fabulous",356
"syrup",355
"sushi",354
"booked",354
"booking",354
"conversation",353
"celebrate",351
"delightful",351
"outstanding",351
"european",350
"13th",349
"sad",348
"groups",348
"pubs",347
"breeze",347
"basically",347
"straight",346
"blue",345
"mint",345
"marks",345
"seafood",345
"suggestion",344
"island",343
"creme",342
"tiramisu",342
"mine",340
"lucky",340
"occasion",340
"rajasthani",340
"ale",339
"hear",339
"ribs",339
"setup",339
"taxes",339
"hands",338
"toppings",338
"mall",337
"pesto",337
"bright",337
"deal",336
"honey",336
"notice",336
"background",335
"dum",334
"raw",334
"roll",334
"lacked",334
"opinion",334
"improvement",334
"25",333
"line",333
"decide",333
"sangria",333
"cuisines",333
"it’s",332
"joints",332
"highlight",332
"legendary",332
"standards",332
"halwa",330
"plenty",330
"expectation",330
"eyes",329
"toit",329
"shots",329
"smell",329
"attitude",329
"sumptuous",329
"basic",328
"thinking",328
"themed",327
"maintained",327
"class",326
"improved",326
"fruits",325
"curries",325
"enjoying",325
"feedback",325
"supposed",325
"efficient",325
"exceptional",325
"boy",324
"fav",324
"chang",324
"sadly",324
"tummy",324
"homely",324
"man",323
"7/10",323
"neat",323
"ample",323
"loads",323
"noticed",323
"knew",322
"chaat",322
"pineapple",322
"crab",321
"alive",321
"innovative",321
"9/10",320
"liking",320
"version",320
"friend's",320
"deli",319
"murgh",319
"sense",319
"fairly",319
"smoked",319
"risotto",319
"soda",318
"brews",318
"stars",318
"freshly",318
"waste",317
"company",317
"too!",316
"alright",316
"penny",315
"la",314
"god",314
"oreo",314
"yeah",313
"tomatoes",313
"meals",312
"closed",312
"lip",310
"chianti",310
"honestly",310
"working",309
"pictures",309
"aroma",308
"mocktail",308
"complaints",308
"laid",307
"prost",307
"landed",307
"arrive",306
"punjab",306
"deserves",306
"mtr",305
"rare",305
"watermelon",304
"extraordinary",304
"2/5",303
"impression",303
"dahi",302
"balls",302
"biere",302
"accompanied",302
"pav",301
"settled",301
"welcoming",301
"eye",299
"mustard",299
"included",299
"occupied",299
"vibe",298
"manage",298
"peanut",298
"marinated",298
"fatty",297
"food-",297
"salsa",297
"hearing",297
"40",296
"hunan",296
"lasagne",296
"informed",295
"collection",295
"panna",294
"mumbai",294
"wedges",294
"barleyz",294
"confused",294
"hrc",293
"min",293
"andhra",293
"hanging",293
"favorites",293
"door",292
"garden",292
"blowing",292
"writing",292
"thulp",290
"starting",290
"memorable",290
"occasions",290
"(the",289
"standing",289
"terrible",289
"important",289
"filter",288
"forgot",288
"designed",288
"smacking",288
"ki",286
"cosy",286
"fall",286
"owners",286
"mg",285
"sausage",285
"pastries",285
"spending",285
"base",284
"post",284
"bigger",284
"penne",282
"wallet",282
"excited",282
"drinking",282
"bang",281
"budget",281
"decorated",281
"bruschetta",281
"moved",280
"tough",280
"loaded",280
"pudding",280
"rates",279
"happen",279
"shop",278
"mediocre",278
"relaxing",278
"????",277
"daal",276
"comment",276
"cramped",276
"batter",275
"medium",275
"idly",274
"bother",274
"outing",274
"screen",274
"lady",273
"ahead",273
"pirates",273
"microbrewery",273
"tree",272
"return",272
"describe",272
"kormangala",272
"roast",271
"sides",271
"panner",271
"delicacies",271
"12",270
"meant",270
"charged",270
"wanting",270
"appealing",270
"fell",269
"jamun",269
"rings",269
"stands",269
"finding",269
"original",269
"bengaluru",269
"favourites",269
"recommendation",269
"means",268
"steamed",268
"arrangements",268
"(not",267
"stick",267
"initially",267
"move",266
"brown",266
"summer",266
"negative",266
"satisfying",266
"bottle",265
"mistake",265
"ps",264
"goa",264
"rava",264
"basket",264
"covered",264
"flavoured",264
"tasteless",264
"difference",264
"2nd",263
"sky",263
"form",263
"tax",262
"tart",262
"delhi",262
"money:",262
"healthy",262
"reserve",262
"separate",262
"mini",260
"again!",260
"factor",260
"ratings",260
"requested",260
"--",259
"mayo",259
"car",258
"hyped",258
"pulao",257
"weird",257
"reminded",257
"drop",255
"trip",255
"nature",255
"dancing",255
"skewers",255
"planned",254
"weekdays",254
"amazingly",254
"step",253
"chops",253
"stout",253
"reminds",253
" the",252
"extensive",252
"hyderabadi",252
"stale",251
"levels",251
"staffs",251
"offering",251
"final",250
"noise",250
"smooth",250
"weeks",249
"sweets",249
"exquisite",249
"hyderabad",249
"uncomfortable",249
"2013",248
"feet",248
"chats",248
"bored",247
"major",247
"prior",247
"regret",247
"wid",246
"fair",246
"dressed",246
"licking",246
"jus",245
"fans",245
"beach",245
"cupcake",245
"truffles",245
"preferred",245
"spring",244
"factory",244
"tooth",243
"vodka",243
"traffic",243
"icecream",243
"dumplings",243
"kudos",242
"great!",242
"nearby",242
"kinds",241
"lived",241
"school",241
"flavored",241
"furniture",241
"fire",240
"stood",240
"melted",240
"moving",240
"previous",240
"lower",239
"effort",239
"couples",239
"crumble",239
"25/5",238
"here!",238
"helped",238
"cook",237
"cover",237
"pastry",237
"bun",236
"(and",236
"break",236
"exotic",236
"biggest",236
"hoppipola",236
"al",235
"reserved",235
"tacos",234
"minute",234
"mild",233
"bites",233
"ramen",233
"salty",233
"japanese",233
"skip",232
"burnt",232
"entry",232
